fips,county,ypll_rate,low_birth_weight_pct,poor_or_fair_health_pct,injury_death_rate,flu_vaccinations_pct,access_exercise_pct,food_environment_index,primary_care_rate,mental_health_provider_rate,preventable_hosp_rate,mammography_pct,severe_housing_pct,income_ratio,life_expectancy,premature_age_adj_mortality,child_mortality_rate,infant_mortality_rate,suicide_rate,homicide_rate,motor_vehicle_mortality_rate,firearm_fatality_rate,drug_overdose_mortality_rate,frequent_physical_distress_pct,diabetes_prevalence_pct,hiv_prevalence_rate,obesity_prevalence_pct,frequent_mental_distress_pct,adult_smoking_pct,physical_inactivity_pct,excessive_drinking_pct,insufficient_sleep_pct,teen_birth_rate,chlamydia_rate,loneliness_pct,food_insecurity_pct,uninsured_adults_pct,uninsured_children_pct
37137,Pamlico,13807.723587,8.9850249584,18.2,155.9615507,55,76.197458456,7.8,32.40441,120.74378,2439,61,12.109375,5.5233270901,73.754228736,556.93085982,,,19.24853814,,20.374436873,15.914443949,90.811965812,13.0,10.9,222.8,36.6,17.1,17.2,24.1,19.443095776,34.7,18.250134192,331.2,30.8,15.1,14.318442153,5.9966685175
37139,Pasquotank,11395.204483,9.7063369397,18.2,99.209301864,44,55.681818182,7.5,56.34355,263.0055,3044,51,14.973439575,4.0315650421,73.795125955,525.34853464,110.90386651,7.3037127206,10.576276339,12.090995409,15.291553017,18.353720845,43.396025579,12.8,11.4,298.4,36.0,17.5,16.1,23.9,19.173291,36.7,18.526591107,613.1,31.5,13.3,11.770190472,5.0340909091
37141,Pender,9267.4772165,8.3956043956,17.7,97.034024714,50,61.518528977,7.9,33.431509999999996,163.45354,2008,50,13.24210991,4.2204062155,75.668466856,445.08650081,61.425061425,6.4473099155,19.264908726,5.929399101,21.893165911,18.527532227,34.674961055,12.9,10.1,183.7,31.3,17.3,16.5,23.3,20.71073794,32.9,14.983611675,260.1,30.9,13.8,13.85878834,6.0495867769
37143,Perquimans,13273.443934,7.7791718946,17.0,116.60587215,48,86.182237601,7.9,15.232289999999999,67.27966,2304,54,14.995640802,4.5936143342,73.677203797,527.37200829,92.233905184,,14.474034081,,17.075591509,,57.489939261,12.5,10.6,173.4,33.8,16.6,14.7,21.9,19.507964949,34.2,23.489932886,363.4,30.6,15.5,13.040985956,6.9877615476
37145,Person,10159.373872,11.358274351,21.7,109.40309469,53,44.74767885,7.5,35.78092,108.21149,2715,49,14.819466248,5.1236256923,74.848671178,507.7824767,45.151823005,8.1494057725,15.710387992,9.0550510886,18.110102177,24.818294629,27.862679208,14.7,11.9,329.0,40.5,19.2,20.1,27.3,19.766948049,37.8,24.724179184,548.4,31.7,15.7,12.790086698,5.66014965
37147,Pitt,10748.322995,11.586514972,17.7,88.60991509,50,90.137039408,7.2,113.84163000000001,486.5263,3418,52,18.91473958,4.8976800034,74.940596903,495.49329204,90.599107187,11.203897008,10.948369319,7.627134293,14.290841096,13.831243091,39.157452685,12.5,11.6,458.5,37.3,16.0,13.6,23.7,18.231809472,36.1,14.296153342,1200.3,32.8,15.6,12.545399801,4.5093194392
37149,Polk,10656.535167,6.6265060241,13.2,127.44223436,47,60.953021523,7.9,76.31258,224.32702,1736,47,10.063990692,4.951221469,76.525709274,442.07821995,,,26.9713749,,13.995899202,23.527797112,31.31592827,10.4,8.3,139.6,32.2,15.3,11.9,18.7,21.052266638,30.3,15.398550725,135.1,30.5,15.4,14.358776416,5.7274119449
37151,Randolph,12479.039103,9.1485257647,21.2,132.95701379,49,56.32547461,6.9,42.70796,125.45945,3273,43,13.442740561,4.1646270723,72.923887334,557.0934896,73.680481757,8.7244007714,18.130234623,4.6558255274,21.000744932,16.325627084,65.860128691,15.0,10.9,202.7,32.5,19.1,19.5,27.6,19.528074911,35.7,20.414068025,384.1,30.8,16.1,16.463781532,5.2954442941
37153,Richmond,17666.001239,12.130557697,21.7,127.98906855,45,33.290644065,6.3,21.065440000000002,264.62527,3759,51,18.078575813,5.4714789589,68.747566383,783.14617848,136.6181411,11.583011583,7.1479068431,16.166214552,22.632700372,18.674561603,77.021427361,14.8,12.8,443.6,39.8,18.7,19.2,27.8,17.653550885,37.9,37.304708258,864.9,31.7,18.2,15.911013365,4.0623758443
37155,Robeson,18937.527286,11.667728576,27.2,178.91232816,39,40.257444435,6.4,50.71865999999999,287.99046000000004,5148,43,15.802556818,5.8415841584,67.946062542,825.20221056,103.45422151,9.5444337504,12.982349995,27.712734506,41.400805801,32.776610611,88.707677897,18.3,15.6,495.6,41.9,21.1,25.0,33.1,14.739042003,40.1,36.29969419,1164.9,34.3,20.4,20.054062593,4.7142596312
37157,Rockingham,13516.305317,9.7503160556,20.7,140.06768842,52,70.846140335,6.7,30.679550000000003,155.64539,2944,42,12.827949901,5.1011446886,71.943529126,623.62227923,53.28112609,7.545983336,18.360279534,8.6132644272,19.888810586,17.097464315,65.571859472,14.6,11.8,227.5,37.8,18.5,18.4,25.7,18.291857933,38.1,21.592135917,398.0,31.7,17.0,15.169286691,4.8826487846
37159,Rowan,12311.857797,9.9838245866,19.2,127.82599082,46,66.485787234,7.2,34.424569999999996,260.44928999999996,2875,42,13.391006578,4.4845364713,72.664422403,580.41676734,60.537800929,6.5178571429,17.343611806,9.6592668716,19.418113814,19.89939749,59.506234527,13.6,11.3,312.3,33.9,16.6,16.8,24.9,19.199639621,31.8,21.023327254,608.1,32.4,15.6,14.016318088,4.6488684266
37161,Rutherford,13777.651332,10.499669822,20.6,123.15419995,47,33.806095214,6.9,44.90137,195.39896,2434,42,14.271938284,4.245745614,71.868472251,637.21135526,59.867948411,7.858546169,19.463099846,4.0996694372,20.929891337,17.247639797,52.383979657,14.9,11.0,121.2,36.7,19.6,19.8,25.9,19.086716902,34.3,23.946288698,351.0,32.5,18.4,14.456100404,6.1638220168
37163,Sampson,12311.650074,9.6825678312,23.4,107.24155918,48,59.963412155,7.6,42.38006,63.75731999999999,3092,46,13.815789474,4.8381684249,72.732589349,573.87437168,68.698094773,6.7555555556,6.8896348341,9.4208909405,30.790228928,13.283697663,28.651400613,15.2,13.3,330.5,38.5,18.3,19.7,30.9,17.452653533,35.6,33.531561224,620.8,32.0,16.5,21.137939423,6.0917884338
37165,Scotland,16834.590939,14.611072179,25.4,132.63137166,36,64.156961433,6.2,58.433400000000006,221.08447999999999,4633,55,19.279574294,5.3453589774,69.485470842,739.8010955,93.209806801,9.1093117409,10.373204394,22.222588026,28.395529145,29.537991069,53.384582533,16.6,14.8,496.3,41.1,19.8,21.3,30.3,16.236151655,41.3,38.541811604,1047.9,32.3,19.4,14.356558393,3.9575416066
37167,Stanly,10232.764578,9.4173163726,18.3,108.01462157,46,67.954050941,7.9,37.83997,220.70351,4136,50,13.094986249,4.6686188193,74.088331901,519.39781017,52.939814049,7.476635514,14.526436921,5.0231636341,19.407677677,15.52116263,38.78061179,13.2,10.3,203.9,34.3,17.9,17.5,23.8,20.109204458,35.7,20.570821315,408.4,31.4,15.3,15.221579961,5.5824391612
37169,Stokes,12066.980046,8.6751361162,18.2,131.99193039,46,65.725516622,7.6,26.934209999999997,74.67276,3629,44,12.170439414,3.9122974611,73.662957863,543.08932825,54.531573781,,12.43189202,3.7695190408,20.418228138,16.774894164,62.00589056,13.4,9.9,111.5,33.1,18.2,18.4,24.3,21.641608427,33.0,16.195767821,210.3,31.9,15.7,12.161394203,4.9781558979
37171,Surry,10741.719631,9.149460125,20.8,124.31244046,50,47.5665298,7.3,56.21767,149.72993,3136,42,11.868554449,5.0837696335,73.671789697,534.09168823,59.192253404,5.9398352175,14.047999829,5.7733732028,19.709101623,14.526397537,38.275189275,14.9,11.1,161.9,35.3,18.3,18.7,25.7,19.379384409,33.7,23.64243374,289.9,33.4,17.9,16.396545031,5.1511033456
37173,Swain,19176.993616,8.6956521739,22.3,152.54668211,37,97.017779982,7.3,63.66723,416.78643,2627,32,13.714804723,5.5041349192,67.330724396,901.14768151,108.87711403,,26.748674859,10.056517629,17.096079969,24.011977739,63.856960409,16.1,12.0,102.1,36.8,20.5,21.3,27.0,19.57306998,36.2,38.845331433,436.7,33.4,18.2,23.607780442,8.4478712705
37175,Transylvania,7664.9214692,8.4619782733,14.1,102.58345223,53,84.478263506,7.9,66.33499,333.84004999999996,1688,49,11.264612115,4.7631558877,79.089114976,356.34186289,67.195833858,,15.024732771,,10.546031317,11.201641335,17.818606585,11.3,8.8,130.6,32.8,16.0,13.3,18.8,21.431378931,32.0,15.284609979,191.9,29.2,15.0,15.552044936,7.0563753311
37177,Tyrrell,9472.8436931,4.3137254902,20.1,124.05609493,32,91.771956857,7.6,,28.89338,2930,38,13.074204947,4.0502657329,76.044515321,502.21728964,,,,,,,,13.5,12.3,,37.0,16.7,16.3,25.7,18.444493115,37.0,25.38071066,356.6,32.7,15.8,19.033760186,7.3871409029
37179,Union,6695.6725976,7.7663068982,13.9,56.222058997,51,70.721921206,8.4,68.5415,147.39600000000002,3148,47,10.149729213,4.1614049714,78.458357437,327.31429777,37.690920363,4.3846655211,9.2792340092,3.8299983423,11.250620131,9.0680740318,19.53125,10.7,9.5,151.2,31.1,14.8,11.5,19.4,21.452547803,31.7,8.6805308095,387.4,28.4,10.5,12.769822328,5.1321459784
37181,Vance,16711.242726,12.457649205,23.1,132.47279495,47,66.177368594,7.6,37.92817,297.8653,3033,39,16.246498599,4.6391398047,70.064258836,726.56970311,108.52232459,8.8587806149,10.276181904,24.786946411,32.288259141,29.336535905,44.946954844,14.7,13.6,541.0,41.2,18.7,19.1,28.5,16.239207386,41.0,35.863302205,1395.4,34.2,16.2,15.961753812,6.0076351216
37183,Wake,5322.47904,7.7711662321,12.6,54.507925551,59,98.552695655,8.5,86.41945000000001,429.64861,2399,49,12.659157399,4.4759623063,80.990179739,254.00899327,45.217300342,5.4074502648,9.2512111405,3.3288109487,7.8529092265,7.7540438487,19.464953828,9.4,8.9,367.2,25.6,13.6,9.7,15.8,20.507187711,31.6,8.9600202335,516.6,29.5,11.1,10.111198112,4.3761062584
37185,Warren,14444.994832,12.051282051,25.2,124.30724608,43,29.079497908,7.6,5.3299199999999995,116.79762000000001,2481,43,11.829347123,4.9831872099,72.997202267,588.754097,107.18113612,,15.189962735,13.20374106,30.80872914,22.789661781,35.089566118,15.9,14.5,419.1,42.0,19.8,21.7,30.6,16.089939819,41.4,24.219433907,742.8,33.1,17.3,17.985766659,6.21729763
37187,Washington,16100.039388,11.884753902,24.4,104.15931078,38,92.093065528,7.6,45.90525,102.67899,3243,47,20.546558704,5.520504934,71.173433446,653.97261327,111.85682327,,,,24.736861634,21.184944566,,15.5,13.8,450.5,41.0,19.6,20.1,30.0,16.294142168,40.4,35.159817352,877.4,32.8,17.7,14.67410875,5.7931034483
37189,Watauga,6649.3422664,7.6855895197,16.2,64.774763752,52,86.600968827,7.9,79.28606,524.22006,1814,44,21.052631579,6.5434559499,79.380888249,309.36317434,27.533622789,,16.66150767,,9.5624778706,10.076074361,21.717622644,12.6,9.9,69.0,33.7,16.7,14.3,20.6,21.107332736,32.1,2.8131793189,575.4,31.5,15.3,13.465818262,5.5236411843
37191,Wayne,11853.559434,10.210050518,19.5,97.937521817,47,86.239165452,6.9,51.35447,282.25739,3294,48,15.472626176,4.2570883315,73.237730456,562.09209733,84.107626023,7.8222222222,12.820239189,10.670869348,18.410181182,15.881760295,26.809052523,13.3,12.2,359.5,39.1,17.8,16.0,25.5,17.445934823,35.7,28.31724399,814.2,31.8,16.0,17.328662808,4.7419457962
37193,Wilkes,12046.845182,9.9703012304,20.6,115.86383919,49,66.519122618,7.3,37.99046,242.3765,2235,45,9.7927746195,3.9927342409,73.660016419,562.76773423,67.795461094,7.3808519612,19.822268351,5.6971881212,21.944724615,16.933945728,32.559747136,15.0,10.6,133.3,35.2,19.2,18.8,25.3,19.971151262,34.3,29.513108614,237.1,32.1,17.5,16.285492131,5.3054179799
37195,Wilson,12402.956136,11.781076067,24.3,99.986817658,51,92.51497766,7.6,39.55646,219.07053,3215,48,15.744215134,5.5804742554,72.643295825,585.75927424,70.427755949,9.6566523605,13.160417106,10.258496423,17.863933426,16.415746183,38.10768142,15.6,13.7,582.3,39.2,19.4,20.8,30.0,16.036854605,38.1,24.320069486,1052.9,33.3,16.5,15.587195026,6.0826574825
37197,Yadkin,12329.716173,10.253499811,19.8,120.53976212,48,51.601547805,7.5,24.19875,95.30365,2810,47,10.822656777,4.6435284747,73.586193213,530.0305817,91.653608491,8.3333333333,19.996965046,4.185756252,22.831397738,20.267747613,43.640897756,14.5,10.7,121.1,36.1,18.4,18.9,25.6,20.652969238,33.8,24.585557741,234.9,32.6,15.6,15.713046258,6.7772814295
37199,Yancey,8896.6118694,8.9430894309,16.8,110.2150831,42,100.0,7.8,58.64477000000001,237.61748999999998,2007,40,11.87664042,5.2323002559,75.98610259,466.42275485,,,24.273972309,,20.462612446,20.733530484,26.945946431,12.8,9.8,60.7,32.3,16.7,15.0,22.2,20.848247008,32.0,25.547445255,127.6,31.0,16.7,15.122746452,5.4054054054
