county,fips,mental_health_days,physical_health_days,uninsured_pct,unemployment_pct,some_college_pct,child_poverty_pct,pm25,obesity_pct,diabetes_pct,physical_inactivity_pct,excessive_drinking_pct
Northampton,37131,5.245637274,4.5960558327,10.152151102,4.5954870666,62.784265519,31.8,6.3,40.3,13.9,27.3,16.34216128
Onslow,37133,5.323969533,3.9771588956,9.4608608657,4.0124787947,68.063456053,16.2,5.7,32.1,10.6,23.0,19.784702507
Orange,37135,4.6963992421,3.3315529238,8.1242133922,2.8912035643,85.071467919,8.2,7.4,26.3,8.7,16.3,19.336183624
Pamlico,37137,5.0264118486,4.1782728662,12.475958456,3.2616487455,58.646616541,25.4,5.6,36.6,10.9,24.1,19.443095776
Pasquotank,37139,5.0788685982,3.8713079732,9.8906431992,4.0546083084,64.856377575,23.2,6.0,36.0,11.4,23.9,19.173291
Pender,37141,5.0854484177,3.8853630935,11.672752168,3.1952737899,68.569038734,14.4,5.7,31.3,10.1,23.3,20.71073794
Perquimans,37143,5.2616904026,4.1807747707,11.45689012,4.0015847861,60.761099366,24.8,5.8,33.8,10.6,21.9,19.507964949
Person,37145,5.3044686054,4.1910962273,10.917201185,3.4882506527,62.889194139,19.2,7.2,40.5,11.9,27.3,19.766948049
Pitt,37147,4.8780648366,4.0353154152,10.460886456,3.9328547912,72.803328152,23.2,5.7,37.3,11.6,23.7,18.231809472
Polk,37149,5.0653901047,3.8412881003,12.346322927,3.284401732,60.370673208,19.8,7.1,32.2,8.3,18.7,21.052266638
Randolph,37151,5.1854669308,4.3981811984,13.413899843,3.6063317275,53.539849092,20.6,8.1,32.5,10.9,27.6,19.528074911
Richmond,37153,5.5499689837,4.7341476449,12.467994096,4.565701559,55.195746738,31.0,7.5,39.8,12.8,27.8,17.653550885
Robeson,37155,5.6807079612,5.1796599667,15.197264661,4.9688925757,46.126936532,37.9,7.2,41.9,15.6,33.1,14.739042003
Rockingham,37157,5.4477531103,4.4762142004,12.506643542,3.9703868972,55.093215453,18.6,7.6,37.8,11.8,25.7,18.291857933
Rowan,37159,5.1291574916,4.2191665744,11.447315233,3.3829303276,58.759425395,20.7,7.6,33.9,11.3,24.9,19.199639621
Rutherford,37161,5.587727635,4.6010181747,12.276668683,4.6121679239,57.29987557,20.3,7.6,36.7,11.0,25.9,19.086716902
Sampson,37163,5.0463862008,4.6271690789,16.631002311,3.5492172421,54.811958973,26.0,6.6,38.5,13.3,30.9,17.452653533
Scotland,37165,5.5959582881,5.0550554403,11.078355977,6.306787814,47.022303978,42.9,7.2,41.1,14.8,30.3,16.236151655
Stanly,37167,5.1860467015,4.2420112456,12.566150675,3.0228427187,60.746534402,14.5,8.1,34.3,10.3,23.8,20.109204458
Stokes,37169,5.4353713667,4.2086913226,10.413056037,3.1046129644,59.597042118,15.2,7.5,33.1,9.9,24.3,21.641608427
Surry,37171,5.5050723116,4.571655499,13.372249181,3.1697863774,60.298044086,16.3,7.6,35.3,11.1,25.7,19.379384409
Swain,37173,5.9076732878,4.9689753278,19.41841368,2.9358055907,54.004929144,23.3,6.1,36.8,12.0,27.0,19.57306998
Transylvania,37175,4.9324396518,3.8295906735,13.613323678,3.2275380796,63.423888299,18.4,5.8,32.8,8.8,18.8,21.431378931
Tyrrell,37177,5.262592542,4.4588096581,15.693581781,5.0566037736,31.99023199,29.9,5.3,37.0,12.3,25.7,18.444493115
Union,37179,4.5022809281,3.3681604393,10.452556933,2.9963955965,70.669652303,10.2,8.1,31.1,9.5,19.4,21.452547803
Vance,37181,5.3585903471,4.4220466716,13.053192141,5.3844317096,48.184314922,36.7,7.0,41.2,13.6,28.5,16.239207386
Wake,37183,4.716502245,3.2049734415,8.546122895,3.0008600308,81.92495683,8.2,9.0,25.6,8.9,15.8,20.507187711
Warren,37185,5.4519950902,4.8465571949,15.034426893,5.3701938354,48.803224994,30.6,6.7,42.0,14.5,30.6,16.089939819
Washington,37187,5.403196235,4.6677258748,12.221055395,4.7905577413,52.935222672,35.8,5.6,41.0,13.8,30.0,16.294142168
Watauga,37189,5.1819977209,4.1666405482,12.066357139,2.9997664253,76.353249672,12.3,6.0,33.7,9.9,20.6,21.107332736
Wayne,37191,5.4257169446,4.3156920842,13.634298817,3.7433466724,61.001348618,22.2,6.8,39.1,12.2,25.5,17.445934823
Wilkes,37193,5.5804779511,4.5910339168,13.462886908,3.7253636122,56.122519533,20.7,7.1,35.2,10.6,25.3,19.971151262
Wilson,37195,5.287820705,4.5585481956,12.90794911,4.9437275352,55.243722304,27.0,6.8,39.2,13.7,30.0,16.036854605
Yadkin,37197,5.3932726386,4.3654830701,13.421034694,3.1462971377,58.025285972,17.8,7.9,36.1,10.7,25.6,20.652969238
Yancey,37199,5.396577423,4.2955170825,12.765646681,3.1179070601,58.847218726,22.0,5.5,32.3,9.8,22.2,20.848247008
