fips,impaired_stream_miles
37001,75.73192221362798
37003,18.034013704936942
37005,7.82719576009035
37007,136.97553943109972
37009,13.402899909170184
37011,24.164299252966515
37013,225.8839296268822
37015,37.51233164291638
37017,8.475657466689375
37019,376.95542308563836
37021,81.45032604182157
37023,56.257415513402854
37025,151.2907847943051
37027,44.37411525954371
37029,15.936912974418103
37031,667.0609455563997
37033,2.484070304253372
37035,146.4950933640268
37037,151.32131899194943
37039,55.36316532510765
37041,16.498081224437573
37043,19.991983077442317
37045,7.234085540463109
37047,68.01155239740623
37049,130.14298363750888
37051,7.256753547751336
37053,231.5886655528403
37055,198.79963596517985
37057,229.8152095280333
37059,28.58326529345244
37061,28.655402447770488
37063,134.8072344403528
37065,12.582103579358927
37067,57.70264273675416
37069,24.82136662397116
37071,130.84895315871233
37073,14.613487507973018
37077,24.765977217921876
37079,42.582431316794526
37081,123.59685599947737
37083,2.111685614577799
37085,27.85573346137345
37087,47.84352374913548
37089,57.38456566582327
37091,57.581613494036645
37095,97.44908727609445
37097,327.9208969796948
37099,35.7072141945917
37101,95.27839365362452
37103,17.697132607038906
37105,23.46239409662685
37107,6.730503975675972
37109,111.7642877469239
37111,6.024508646333617
37113,42.65415772633692
37115,12.420120439972603
37117,18.172559554472706
37119,375.58522764472065
37121,46.43807449743784
37123,115.75308414207521
37125,4.6797945979962225
37127,18.07304697593185
37129,155.84472417009553
37133,397.6734116020801
37135,34.058521875083514
37137,114.39976653022012
37139,19.635873115839082
37141,130.24522738473826
37143,19.355892113765087
37145,12.165545973273456
37147,72.1261192173779
37151,77.1082567546005
37153,15.975349228402315
37155,12.793377831955304
37157,42.170666160403
37159,175.48304098835905
37161,21.45382869760402
37163,8.020378141457803
37167,170.9614121149007
37169,18.418593932187704
37171,21.248097018559267
37173,6.039669152468557
37175,17.403760265428154
37177,49.85079413836933
37179,245.5687759678704
37181,7.363418304062826
37183,225.83107477546494
37185,25.815293419725847
37187,51.98422098083692
37189,20.85910634880275
37191,27.25952721275363
37193,28.42069712744572
37195,16.14419304309334
37197,26.73010298020275
37199,92.86620248397547
