fips,impaired_stream_miles
00001,75.73192221362798
00003,18.034013704936942
00005,7.82719576009035
00007,136.97553943109972
00009,13.402899909170184
00011,24.164299252966515
00013,225.8839296268822
00015,37.51233164291638
00017,8.475657466689375
00019,376.95542308563836
00021,81.45032604182157
00023,56.257415513402854
00025,151.2907847943051
00027,44.37411525954371
00029,15.936912974418103
00031,667.0609455563997
00033,2.484070304253372
00035,146.4950933640268
00037,151.32131899194943
00039,55.36316532510765
00041,16.498081224437573
00043,19.991983077442317
00045,7.234085540463109
00047,68.01155239740623
00049,130.14298363750888
00051,7.256753547751336
00053,231.5886655528403
00055,198.79963596517985
00057,229.8152095280333
00059,28.58326529345244
00061,28.655402447770488
00063,134.8072344403528
00065,12.582103579358927
00067,57.70264273675416
00069,24.82136662397116
00071,130.84895315871233
00073,14.613487507973018
00077,24.765977217921876
00079,42.582431316794526
00081,123.59685599947737
00083,2.111685614577799
00085,27.85573346137345
00087,47.84352374913548
00089,57.38456566582327
00091,57.581613494036645
00095,97.44908727609445
00097,327.9208969796948
00099,35.7072141945917
00101,95.27839365362452
00103,17.697132607038906
00105,23.46239409662685
00107,6.730503975675972
00109,111.7642877469239
00111,6.024508646333617
00113,42.65415772633692
00115,12.420120439972603
00117,18.172559554472706
00119,375.58522764472065
00121,46.43807449743784
00123,115.75308414207521
00125,4.6797945979962225
00127,18.07304697593185
00129,155.84472417009553
00133,397.6734116020801
00135,34.058521875083514
00137,114.39976653022012
00139,19.635873115839082
00141,130.24522738473826
00143,19.355892113765087
00145,12.165545973273456
00147,72.1261192173779
00151,77.1082567546005
00153,15.975349228402315
00155,12.793377831955304
00157,42.170666160403
00159,175.48304098835905
00161,21.45382869760402
00163,8.020378141457803
00167,170.9614121149007
00169,18.418593932187704
00171,21.248097018559267
00173,6.039669152468557
00175,17.403760265428154
00177,49.85079413836933
00179,245.5687759678704
00181,7.363418304062826
00183,225.83107477546494
00185,25.815293419725847
00187,51.98422098083692
00189,20.85910634880275
00191,27.25952721275363
00193,28.42069712744572
00195,16.14419304309334
00197,26.73010298020275
00199,92.86620248397547
